[2020-04-04 12:37:17.007] [Raw_server] [error] Message to short (insufficient header length)
[2020-04-04 12:52:34.952] [Raw_server] [error] Message to short (insufficient data length of 6559440, expected 20480000)
[2020-04-04 12:52:34.952] [Raw_server] [error] Message to short (insufficient data length of 6973568, expected 20480000)
[2020-04-04 12:52:34.952] [Raw_server] [error] Message to short (insufficient data length of 2657080, expected 20480000)
[2020-04-04 12:52:34.952] [Raw_server] [error] Message to short (insufficient data length of 6559440, expected 20480000)
[2020-04-04 12:52:34.952] [Raw_server] [error] Message to short (insufficient data length of 6527584, expected 20480000)
[2020-04-04 12:52:34.956] [Raw_server] [error] Message to short (insufficient data length of 6288664, expected 20480000)
[2020-04-04 12:52:34.956] [Raw_server] [error] Message to short (insufficient data length of 6543512, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 6862072, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 6655008, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 6862072, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 7180632, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 6702792, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 6479800, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 7467336, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 5412624, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 6846144, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 5285200, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 6607224, expected 20480000)
[2020-04-04 12:52:34.960] [Raw_server] [error] Message to short (insufficient data length of 6734648, expected 20480000)
[2020-04-04 12:52:34.964] [Raw_server] [error] Message to short (insufficient data length of 7403624, expected 20480000)
[2020-04-04 12:52:34.964] [Raw_server] [error] Message to short (insufficient data length of 7578832, expected 20480000)
[2020-04-04 12:52:34.964] [Raw_server] [error] Message to short (insufficient data length of 7292128, expected 20480000)
[2020-04-04 12:52:34.964] [Raw_server] [error] Message to short (insufficient data length of 7419552, expected 20480000)
[2020-04-04 12:52:34.964] [Raw_server] [error] Message to short (insufficient data length of 7642544, expected 20480000)
[2020-04-04 12:52:34.964] [Raw_server] [error] Message to short (insufficient data length of 7531048, expected 20480000)
[2020-04-04 12:52:34.964] [Raw_server] [error] Message to short (insufficient data length of 6575368, expected 20480000)
[2020-04-04 12:52:34.964] [Raw_server] [error] Message to short (insufficient data length of 8040744, expected 20480000)
